Name, TOI, IAR, ICR, IED, SFF, DODD, ABR
"Veranda Phase 2 and 3","Standard","2005-07-19","2005-07-19","2006-07-01","0","2008-04-03","2007-01-12"
"Sunset Ridge 2  (formerly Crescent Ridge / Beiler)","Township Road","2007-03-08","2007-03-15","2007-07-01","0","2008-12-23","2008-10-27"
"Kissel Hill Commons - LOT #287 - Commercial",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Triple H Construction","Standard","2006-11-29","2008-06-23","2010-12-31","0","1990-01-01","1990-01-01"
"Manor Oaks Phase 1,2,3 and 3A",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Veranda Phase 1","Township Road","2004-02-20","2005-05-05","2006-05-01","0","2005-03-15","2005-03-01"
"Pappas-2 lots (Dorsea Rd & Springvalley Rd)","Township Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"NGUYEN  Lot @ 1750 Sammar Rd","Township Road","2006-09-06","2006-09-05","2007-08-08","0","1990-01-01","1990-01-01"
"1896 Millersville Rd Subdivision","Township Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Fanelli, Gary - 12 Druid Circle lot",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Murry South Centerville Road Walmart","Standard","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Church of Jesus Christ of Latter-Day Saints","Standard","2010-03-12","2010-04-22","2010-07-01","0","1990-01-01","1990-01-01"
"Brod, Roy lot @70 Valley Rd.","State Road","2006-09-26","2006-09-28","2007-07-01","0","1990-01-01","1990-01-01"
"Severn Tract","Township Road","2006-01-06","2006-01-06","2006-08-26","0","2006-12-28","2006-12-06"
"Parkfield - Phase 2","Standard","2006-11-21","2006-11-01","2007-07-01","0","2008-09-03","2008-06-24"
"Bethel Commons","Township Road","2007-03-12","2007-03-12","2007-11-29","0","2010-03-03","2009-09-02"
"3050 Yellow Goose Rd - Office",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Hempfield Crossing Phase 1 (formerly Wissler Tract","Township Road","2008-01-30","2008-09-25","2014-10-01","0","2008-11-25","2008-10-02"
"Blossom Hill Mennonite Church",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"DeGeorge lot @ 1790 State St.","Township Road","2006-12-13","2006-12-13","2007-10-06","0","1990-01-01","1990-01-01"
"DeGeorge lot @ 530 Garden Hill Lane","Township Road","2006-11-20","2006-11-20","2007-10-20","0","1990-01-01","1990-01-01"
"Fairway Drive Subdivision","Township Road","2007-01-12","2007-01-12","2007-10-13","0","1990-01-01","1990-01-01"
"Heisey, Michael - Apts @ 686 Bean Hill Rd.","Township Road","2006-12-18","2006-12-18","2008-01-01","0","1990-01-01","1990-01-01"
"1015 Wheaton Dr. lot","Township Road","2006-12-29","2006-12-29","2007-06-20","0","1990-01-01","1990-01-01"
"Tobacco Road Condos",,"1990-01-01","2007-01-03","2008-01-01","0","1990-01-01","1990-01-01"
"Ruby Tuesday Inc.","Township Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Ritas Italian Ice","Standard","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Preserve at Silver Spring - Residential",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Preserve at Silver Spring - Commercial","State Road","2008-10-30","2008-10-30","2011-07-01","0","1990-01-01","1990-01-01"
"Broomell Residence (Spring Valley Rd.)","Township Road","2009-04-30","2009-04-30","2011-10-06","0","1990-01-01","1990-01-01"
"Imperial Homes - 2774 Kreider Rd.",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Orthopedic Assoc - North Pointe",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Spring Haven",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"730 Eden Road Office Bldg.","Township Road","2008-05-02","2008-10-01","2009-10-01","0","1990-01-01","2009-06-30"
"Calvary Church Expansion  (MHT)",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Bloomfield Village","Standard","2007-01-26","2008-10-01","2010-10-06","0","1990-01-01","1990-01-01"
"3816 Concordia Rd. (Dave Charles)","Township Road","2006-12-21","2006-12-21","2007-10-13","0","1990-01-01","1990-01-01"
"Mariani - Office Bldg - 501 Rohrerstown Rd.",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Summit Hills - Portion of Phases 3 & 4","Township Road","2007-03-01","2007-03-05","2007-10-02","0","1990-01-01","2008-02-27"
"F& M Athletic Field Restrooms","State Road","2006-03-13","2006-03-13","2006-10-05","0","1990-01-01","1990-01-01"
"Apria Healthcare Facility",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
